state,Split1,Split2,Split3,Split4
Alabama,0.253190619,0.379720953,0.323292882,0.018593633
Arizona,0.289162881,0.328440547,0.437302706,0.018195271
Arkansas,0.279385394,0.341153253,0.270689886,0.024809069
California,0.340397694,0.233830913,0.465502098,0.047657063
Colorado,0.256172185,0.310840108,0.565884434,0.065732654
Connecticut,0.27434723,0.276327947,0.514042135,0.03202954
Delaware,0.264789903,0.277161292,0.518323736,0.032691972
Florida,0.294254438,0.370426516,0.450955019,0.017642012
Georgia,0.305921503,0.343167182,0.499876797,0.015600918
Idaho,0.277470887,0.418499711,0.326965381,0.043884384
Illinois,0.290283724,0.271498278,0.466080867,0.034590944
Indiana,0.267560142,0.339210883,0.347212756,0.024101953
Iowa,0.270340658,0.391944045,0.491792655,0.039963879
Kansas,0.283833669,0.356672408,0.398096367,0.029055843
Kentucky,0.266617877,0.39746867,0.34724069,0.02492873
Louisiana,0.276625473,0.363363108,0.362178217,0.023398516
Maine,0.192396222,0.333109484,0.575714006,0.055272469
Maryland,0.294441038,0.234336583,0.56230684,0.067664274
Massachusetts,0.276404811,0.242326867,0.543533426,0.0536694
Michigan,0.246049415,0.368408999,0.566714415,0.053061414
Minnesota,0.260193805,0.354432967,0.598884189,0.070201064
Mississippi,0.260703455,0.343666625,0.326789394,0.014142303
Missouri,0.253380292,0.375721748,0.412434962,0.024989432
Montana,0.210395759,0.392085874,0.424825742,0.060529526
Nebraska,0.291791679,0.397677371,0.432504433,0.035781377
Nevada,0.307972506,0.332218575,0.467026541,0.035336585
New Hampshire,0.203055715,0.352227229,0.575322692,0.039422613
New Jersey,0.323426817,0.306192995,0.497939372,0.037424529
New Mexico,0.268449895,0.271685054,0.421852726,0.03232266
New York,0.302008008,0.258084124,0.448976364,0.011360032
North Carolina,0.26307131,0.356065848,0.518032382,0.033781361
North Dakota,0.259948931,0.418158748,0.327487784,0.040417221
Ohio,0.247020357,0.35540417,0.43928572,0.016688873
Oklahoma,0.278128619,0.350504525,0.260189653,0.021372933
Oregon,0.249004124,0.286573334,0.54197085,0.080511954
Pennsylvania,0.242692594,0.35774241,0.538101877,0.031440789
Rhode Island,0.256369639,0.259211796,0.465378464,0.042199863
South Carolina,0.246238294,0.359284002,0.38868384,0.022219626
South Dakota,0.262485279,0.398970903,0.358301047,0.037951919
Tennessee,0.260356266,0.367916146,0.312588134,0.017569947
Texas,0.355951141,0.317255636,0.351418724,0.01790984
Utah,0.321107097,0.371574109,0.376358747,0.045173
Vermont,0.18886557,0.226980219,0.579880478,0.083334797
Virginia,0.276514139,0.325515018,0.543154274,0.048598098
Washington,0.290593955,0.271171913,0.545816688,0.078911756
West Virginia,0.214931364,0.383976165,0.250361274,0.02293475
Wisconsin,0.247635831,0.378526783,0.598532648,0.050996051
Wyoming,0.247066972,0.435390801,0.278326208,0.038207869
